;Zenon;;Eprover;;Vampire;;
tptp-problems/euclid-nativeq/006_lemma_3_5b.p ;0; Ok;0; Ok;0; Ok; No: 1
tptp-problems/euclid-nativeq/006_lemma_congruencesymmetric.p ;0; Ok;0; Ok;0; Ok; No: 2
tptp-problems/euclid-nativeq/006_lemma_congruencetransitive.p ;0; Ok;0; Ok;0; Ok; No: 3
tptp-problems/euclid-nativeq/006_lemma_equalitysymmetric.p ;0; Ok;1; Ok;0; Ok; No: 4
tptp-problems/euclid-nativeq/006_proposition_31short.p ;1; Ok;0; Ok;0; Ok; No: 5
tptp-problems/euclid-nativeq/007_lemma_ETreflexive.p ;0; Ok;0; Ok;0; Ok; No: 6
tptp-problems/euclid-nativeq/007_lemma_ray2.p ;39; Error  ;0; Ok;0; Ok; No: 7
tptp-problems/euclid-nativeq/007_lemma_ray5.p ;0; Ok;0; Ok;0; Ok; No: 8
tptp-problems/euclid-nativeq/007_lemma_raystrict.p ;43; Error  ;0; Ok;0; Ok; No: 9
tptp-problems/euclid-nativeq/007_lemma_squarerectangle.p ;0; Ok;0; Ok;0; Ok; No: 10
tptp-problems/euclid-nativeq/008_lemma_3_6a.p ;0; Ok;0; Ok;0; Ok; No: 11
tptp-problems/euclid-nativeq/008_lemma_3_6b.p ;0; Ok;0; Ok;0; Ok; No: 12
tptp-problems/euclid-nativeq/008_lemma_3_7b.p ;1; Ok;0; Ok;0; Ok; No: 13
tptp-problems/euclid-nativeq/008_lemma_PGflip.p ;0; Ok;0; Ok;0; Ok; No: 14
tptp-problems/euclid-nativeq/008_lemma_TCreflexive.p ;0; Ok;0; Ok;0; Ok; No: 15
tptp-problems/euclid-nativeq/008_lemma_TTorder.p ;0; Ok;0; Ok;0; Ok; No: 16
tptp-problems/euclid-nativeq/008_lemma_angleorderrespectscongruence2.p ;95; Error  ;0; Ok;0; Ok; No: 17
tptp-problems/euclid-nativeq/008_lemma_equalanglesreflexive.p ;36; Error  ;0; Ok;0; Ok; No: 18
tptp-problems/euclid-nativeq/008_lemma_lessthancongruence2.p ;0; Ok;0; Ok;0; Ok; No: 19
tptp-problems/euclid-nativeq/008_lemma_supplementsymmetric.p ;0; Ok;0; Ok;0; Ok; No: 20
tptp-problems/euclid-nativeq/008_proposition_03.p ;137; Error  ;0; Ok;0; Ok; No: 21
tptp-problems/euclid-nativeq/009_lemma_PGrotate.p ;1; Ok;0; Ok;0; Ok; No: 22
tptp-problems/euclid-nativeq/009_lemma_PGsymmetric.p ;0; Ok;0; Ok;0; Ok; No: 23
tptp-problems/euclid-nativeq/009_lemma_RTcongruence.p ;31; Error  ;0; Ok;0; Ok; No: 24
tptp-problems/euclid-nativeq/009_lemma_collinearorder.p ;0; Ok;0; Ok;0; Ok; No: 25
tptp-problems/euclid-nativeq/009_lemma_congruenceflip.p ;1; Ok;0; Ok;0; Ok; No: 26
tptp-problems/euclid-nativeq/009_lemma_doublereverse.p ;0; Ok;0; Ok;0; Ok; No: 27
tptp-problems/euclid-nativeq/009_lemma_equalangleshelper.p ;185; Error  ;9; Ok;0; Ok; No: 28
tptp-problems/euclid-nativeq/009_lemma_lessthannotequal.p ;222; Error  ;0; Ok;0; Ok; No: 29
tptp-problems/euclid-nativeq/009_lemma_oppositesideflip.p ;31; Error  ;0; Ok;0; Ok; No: 30
tptp-problems/euclid-nativeq/010_lemma_inequalitysymmetric.p ;0; Ok;0; Ok;0; Ok; No: 31
tptp-problems/euclid-nativeq/010_lemma_rayimpliescollinear.p ;319; Error  ;0; Ok;0; Ok; No: 32
tptp-problems/euclid-nativeq/010_lemma_rectanglerotate.p ;0; Ok;0; Ok;1; Ok; No: 33
tptp-problems/euclid-nativeq/011_lemma_TTflip.p ;7; Ok;0; Ok;0; Ok; No: 34
tptp-problems/euclid-nativeq/011_lemma_ray1.p ;0; Ok;0; Ok;0; Ok; No: 35
tptp-problems/euclid-nativeq/011_lemma_rightreverse.p ;56; Error  ;0; Ok;0; Ok; No: 36
tptp-problems/euclid-nativeq/011_lemma_samesideflip.p ;40; Error  ;0; Ok;0; Ok; No: 37
tptp-problems/euclid-nativeq/011_lemma_samesidetransitive.p ;188; Error  ;0; Ok;0; Ok; No: 38
tptp-problems/euclid-nativeq/011_lemma_supplementofright.p ;2; Ok;0; Ok;0; Ok; No: 39
tptp-problems/euclid-nativeq/012_lemma_3_7a.p ;186; Error  ;1; Ok;0; Ok; No: 40
tptp-problems/euclid-nativeq/012_lemma_lessthanbetween.p ;310; Error  ;0; Ok;0; Ok; No: 41
tptp-problems/euclid-nativeq/013_lemma_samesidesymmetric.p ;76; Error  ;0; Ok;0; Ok; No: 42
tptp-problems/euclid-nativeq/013_lemma_squareflip.p ;0; Ok;0; Ok;0; Ok; No: 43
tptp-problems/euclid-nativeq/014_lemma_RTsymmetric.p ;62; Error  ;0; Ok;0; Ok; No: 44
tptp-problems/euclid-nativeq/014_lemma_localextension.p ;100; Error  ;0; Ok;1; Ok; No: 45
tptp-problems/euclid-nativeq/014_lemma_samenotopposite.p ;1; Ok;0; Ok;0; Ok; No: 46
tptp-problems/euclid-nativeq/015_lemma_crossimpliesopposite.p ;60; Error  ;1; Ok;0; Ok; No: 47
tptp-problems/euclid-nativeq/015_lemma_parallelsymmetric.p ;32; Error  ;0; Ok;0; Ok; No: 48
tptp-problems/euclid-nativeq/015_lemma_rectanglereverse.p ;0; Ok;0; Ok;1; Ok; No: 49
tptp-problems/euclid-nativeq/015_proposition_05.p ;0; Ok;0; Ok;0; Ok; No: 50
tptp-problems/euclid-nativeq/016_lemma_supplements2.p ;322; Error  ;329; Error  ;0; Ok; No: 51
tptp-problems/euclid-nativeq/017_lemma_collinear5.p ;8; Ok;0; Ok;0; Ok; No: 52
tptp-problems/euclid-nativeq/017_lemma_equalanglesflip.p ;39; Error  ;0; Ok;0; Ok; No: 53
tptp-problems/euclid-nativeq/017_lemma_partnotequalwhole.p ;320; Error  ;0; Ok;0; Ok; No: 54
tptp-problems/euclid-nativeq/017_lemma_samesidereflexive.p ;39; Error  ;0; Ok;0; Ok; No: 55
tptp-problems/euclid-nativeq/017_lemma_trichotomy2.p ;86; Error  ;0; Ok;0; Ok; No: 56
tptp-problems/euclid-nativeq/018_lemma_extensionunique.p ;6; Ok;1; Ok;0; Ok; No: 57
tptp-problems/euclid-nativeq/018_lemma_layoff.p ;179; Error  ;0; Ok;0; Ok; No: 58
tptp-problems/euclid-nativeq/018_lemma_samesidecollinear.p ;43; Error  ;1; Ok;4; Ok; No: 59
tptp-problems/euclid-nativeq/018_proposition_06.p ;0; Ok;46; Ok;0; Ok; No: 60
tptp-problems/euclid-nativeq/020_lemma_TGsymmetric.p ;325; Error  ;1; Ok;5; Ok; No: 61
tptp-problems/euclid-nativeq/020_proposition_13.p ;133; Error  ;0; Ok;0; Ok; No: 62
tptp-problems/euclid-nativeq/021_lemma_together.p ;314; Error  ;0; Ok;0; Ok; No: 63
tptp-problems/euclid-nativeq/021_proposition_05b.p ;183; Error  ;0; Ok;0; Ok; No: 64
tptp-problems/euclid-nativeq/022_lemma_TGflip.p ;40; Error  ;3; Ok;7; Ok; No: 65
tptp-problems/euclid-nativeq/022_proposition_33B.p ;88; Error  ;0; Ok;0; Ok; No: 66
tptp-problems/euclid-nativeq/023_lemma_NChelper.p ;3; Ok;1; Ok;0; Ok; No: 67
tptp-problems/euclid-nativeq/023_lemma_collinearparallel.p ;307; Error  ;373; Error  ;32; Ok; No: 68
tptp-problems/euclid-nativeq/024_lemma_TTtransitive.p ;328; Error  ;246; Ok;0; Ok; No: 69
tptp-problems/euclid-nativeq/024_lemma_betweennesspreserved.p ;32; Error  ;0; Ok;5; Ok; No: 70
tptp-problems/euclid-nativeq/025_lemma_NCdistinct.p ;0; Ok;0; Ok;0; Ok; No: 71
tptp-problems/euclid-nativeq/025_lemma_TTflip2.p ;77; Error  ;13; Ok;13; Ok; No: 72
tptp-problems/euclid-nativeq/025_lemma_righttogether.p ;212; Error  ;337; Error  ;24; Ok; No: 73
